FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
173944.0,52.07,0.0,79.19,47.19,4.92
175617.0,40.97,0.0,80.83,50.59,5.55
174223.0,48.7,0.03,74.85,51.18,11.46
154542.0,50.91,0.01,78.52,49.3,6.61
147230.0,43.92,0.08,79.52,52.93,13.29
171624.0,32.6,0.0,69.58,45.82,12.28
176088.0,35.1,0.0,72.08,42.6,4.87
177338.0,46.87,0.0,72.39,45.35,7.34
177871.0,51.15,0.0,73.1,43.32,6.31
168983.0,48.92,0.0,68.47,41.4,6.58
153254.0,47.33,0.0,69.34,46.69,8.52
149203.0,44.44,0.0,70.98,47.15,8.88
172210.0,45.39,0.0,71.9,45.19,8.5
178590.0,48.59,0.0,71.86,44.16,7.59
181539.0,55.46,0.0,70.34,40.02,6.19
183957.0,50.67,0.0,68.0,44.54,7.77
181760.0,52.42,0.02,68.6,45.03,15.05
158318.0,53.73,0.0,65.26,47.78,13.56
151634.0,57.06,0.0,63.27,43.28,11.75
174860.0,74.13,1.08,57.4,47.94,9.39
178412.0,72.26,0.57,62.08,45.81,8.99
176470.0,74.74,0.0,62.83,39.3,6.02
181948.0,73.52,0.0,63.06,36.71,6.07
182379.0,67.25,0.02,65.14,36.51,6.08
162491.0,58.37,0.86,54.93,46.23,12.33
155950.0,77.16,0.0,56.24,42.51,11.2
179986.0,59.86,0.0,51.98,39.2,13.84
181403.0,70.11,0.05,51.31,35.71,9.05
177894.0,71.77,0.0,54.12,34.23,6.46
176485.0,66.06,0.0,56.36,35.08,9.46
174744.0,73.08,0.51,53.05,39.88,9.43
160866.0,81.34,0.0,54.07,37.07,5.54
147309.0,80.33,0.0,57.11,33.48,6.14
174837.0,71.14,0.0,59.02,35.15,7.51
173440.0,62.87,0.0,58.51,33.83,7.07
175734.0,67.25,0.04,55.72,34.47,6.56
180569.0,61.03,0.2,57.69,35.93,5.77
184730.0,73.16,0.0,57.85,32.88,6.21
162817.0,80.44,0.0,56.1,31.34,5.68
152837.0,70.54,0.0,57.43,32.21,4.71
173955.0,67.73,0.0,56.33,29.09,7.18
177946.0,63.21,0.02,52.88,33.76,6.49
182887.0,67.89,0.09,49.37,33.43,11.86
194460.0,63.75,0.0,49.18,29.58,8.6
193283.0,77.14,0.04,47.76,30.42,7.85
169335.0,78.38,1.44,44.52,30.55,6.93
154758.0,76.94,0.0,51.19,28.15,6.16
184708.0,79.43,0.0,49.71,26.92,5.98
190434.0,80.08,0.0,50.29,27.57,5.01
183766.0,72.24,0.0,49.58,24.13,4.54
151270.0,74.82,0.0,49.51,28.84,4.28
151787.0,62.59,0.0,50.17,30.02,6.38
150106.0,80.83,0.0,49.54,27.62,6.2
153051.0,75.68,0.0,48.23,29.15,5.96
185011.0,77.7,0.3,45.82,30.99,8.18
192094.0,79.44,0.0,47.5,26.67,4.82
200093.0,81.2,0.0,48.24,25.58,5.55
198578.0,78.88,0.0,44.38,23.02,6.46
198900.0,82.2,0.16,45.55,25.54,6.12
176464.0,83.1,0.07,46.34,27.06,4.91
164946.0,79.91,0.0,44.79,27.04,8.39
191168.0,84.63,0.01,42.99,28.94,7.13
200532.0,85.57,2.57,37.11,32.08,10.49
201634.0,85.44,0.11,37.15,25.04,6.09
203090.0,71.89,0.0,37.0,17.88,5.69
199145.0,70.99,0.07,33.01,18.76,6.05
186293.0,74.31,0.0,32.39,12.99,7.22
181630.0,79.46,0.0,31.76,14.51,5.69
202116.0,84.23,0.0,30.26,12.16,5.68
203492.0,80.82,0.0,35.71,21.37,7.81
197208.0,94.31,0.0,35.13,16.02,5.13
192426.0,84.0,0.0,32.73,13.01,6.41
197524.0,97.44,0.0,32.29,17.0,4.93
183613.0,99.12,0.0,30.51,16.52,5.21
177720.0,96.96,0.09,27.62,16.14,5.0
197535.0,93.13,0.12,30.36,16.54,5.58
198599.0,82.49,0.31,30.34,21.31,10.38
192756.0,76.98,0.03,30.71,17.62,9.51
190667.0,90.5,0.0,25.89,12.42,5.62
184914.0,78.56,0.0,26.11,13.48,6.08
166142.0,80.68,0.0,25.65,8.08,6.19
155276.0,90.57,0.0,25.24,8.65,5.85
160452.0,80.91,0.0,24.89,8.49,5.54
185747.0,78.52,0.0,24.85,7.15,5.38
193904.0,71.5,0.03,28.6,7.71,5.64
191889.0,69.02,0.01,30.69,12.49,6.08
173854.0,84.94,0.0,28.82,9.66,5.99
161876.0,71.47,0.0,31.25,9.92,5.6
157718.0,84.37,0.0,29.61,10.86,3.81
180793.0,89.98,0.0,30.81,8.76,5.19
213339.0,83.85,0.0,26.98,9.48,5.58
213673.0,74.94,0.0,26.77,6.8,6.06
202213.0,83.06,0.01,25.43,6.9,5.05
189140.0,85.21,0.0,26.6,6.53,6.43
168438.0,75.08,0.0,29.14,10.94,5.76
165920.0,77.56,0.0,28.71,8.54,6.05
194214.0,76.72,0.0,27.67,10.13,5.43
